dataset,method,bestC,bestLambda,bestK,objective_value,Betas,runtime
iris,sdp_full,10.0,0.01,1,14.686861129408587,"0.7631, -0.0, -0.0, -0.0, 0.1124, 0.0, -0.0, -0.0, -0.0, 0.1245",84.32632994651794
wine,sdp_full,5.0,10.0,2,7.704754475580828,"0.5554, 0.0, 0.0, 0.0, 0.0, 0.4446, 0.0, 0.0, 0.0, 0.0",174.23220801353455
ionosphere,sdp_full,10.0,100.0,2,80.39006480365418,"0.1434, 0.0, 0.0, 0.0617, 0.0, 0.2546, 0.0943, 0.0, 0.0, 0.4461",4039.892541885376
heart,sdp_full,100.0,0.1,4,69.94836804413306,"0.0415, -0.0, -0.0, -0.0, 0.9585, 0.0, -0.0, -0.0, -0.0, 0.0",2029.270192861557
haberman,sdp_full,5.0,0.01,1,431.96922645841556,"-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0",2460.891058921814
parkinsons,sdp_full,100.0,0.1,4,25.68592580598479,"0.072, 0.0, 0.0, 0.0, 0.8356, 0.0, 0.0, -0.0, -0.0, 0.0924",212.9602189064026
