Dataset,TrainSize,TestSize,MKL_TrainAccuracy,MKL_TestAccuracy,MKL_Precision,MKL_Recall,MKL_F1_Score,MKL_Objective,Baseline_Accuracy,Baseline_Precision,Baseline_Recall,Baseline_F1_Score,SVM_TrainAccuracy,SVM_TestAccuracy,SVM_Precision,SVM_Recall,SVM_F1_Score,Betas,MKL_BestK0,MKL_BestC,MKL_BestLambda,MKL_FitTime,Status
iris,120,30,1.0,1.0,0.9999999998571428,0.9999999998571428,0.9999999993571429,16.78024702483121,0.7666666666666667,0.0,0.0,0.0,1.0,1.0,0.9999999998571428,0.9999999998571428,0.9999999993571429,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1,10.0,0.01,5.4831390380859375,Success
wine,142,36,1.0,1.0,0.999999999875,0.999999999875,0.999999999375,7.704753940042618,0.7777777777777778,0.0,0.0,0.0,1.0,1.0,0.999999999875,0.999999999875,0.999999999375,"0.5554, 0.0, 0.0, 0.0, 0.0, 0.4446, 0.0, 0.0, 0.0, 0.0",2,5.0,10.0,0.006333827972412109,Success
ionosphere,280,71,1.0,0.9014084507042254,0.9999999999729731,0.8409090908899794,0.913580246394757,121.82624594794596,0.6197183098591549,0.6197183098504264,0.9999999999772728,0.7652173908186011,0.9821428571428571,0.8309859154929577,0.8333333333159723,0.909090909070248,0.869565216873346,"0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5",2,10.0,100.0,0.08994603157043457,Success
heart,242,61,1.0,0.9344262295081968,0.9230769230414201,0.9230769230414201,0.92307692254142,98.75053561886085,0.5737704918032787,0.0,0.0,0.0,0.8264462809917356,0.9016393442622951,0.9166666666284722,0.8461538461213017,0.8799999994655999,"0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.25",4,100.0,0.1,0.28302788734436035,Success
haberman,244,62,0.860655737704918,0.6612903225806451,0.6851851851724966,0.9024390243682333,0.7789473679140165,431.9692124411673,0.6612903225806451,0.6612903225699792,0.9999999999756098,0.7961165043596946,0.7540983606557377,0.6451612903225806,0.655737704907283,0.9756097560737657,0.7843137249940407,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0",1,5.0,0.01,0.04263114929199219,Success
parkinsons,156,39,1.0,0.9487179487179487,0.931034482726516,0.999999999962963,0.9642857137519132,26.311709916625567,0.6923076923076923,0.6923076922899409,0.999999999962963,0.8181818176735537,0.9230769230769231,0.8974358974358975,0.8965517241070154,0.9629629629272977,0.928571428038903,"0.1353, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0647",4,100.0,0.1,0.09705686569213867,Success
