=== Kernel Computation Profiling (All Functions) ===

 Count  Overhead File                    Line Function
     1         1 …ractinterpretation.jl   102 abstract_call_gf_by_type(interp::…
   381         0 …ractinterpretation.jl   103 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   120 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   145 abstract_call_gf_by_type(interp::…
     2         0 …ractinterpretation.jl   159 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   171 abstract_call_gf_by_type(interp::…
     2         0 …ractinterpretation.jl   188 abstract_call_gf_by_type(interp::…
     3         3 …ractinterpretation.jl  2002 abstract_call_known(interp::Core.…
   183         0 …ractinterpretation.jl  2004 abstract_call_known(interp::Core.…
    18         0 …ractinterpretation.jl  2014 abstract_call_known(interp::Core.…
     7         0 …ractinterpretation.jl  2015 abstract_call_known(interp::Core.…
    11         0 …ractinterpretation.jl  2086 abstract_call_known(interp::Core.…
   805         0 …ractinterpretation.jl  2087 abstract_call_known(interp::Core.…
     1         0 …ractinterpretation.jl   511 abstract_call_method(interp::Core…
     2         2 …ractinterpretation.jl   523 abstract_call_method(interp::Core…
   795         0 …ractinterpretation.jl   629 abstract_call_method(interp::Core…
   381         0 …ractinterpretation.jl   788 abstract_call_method_with_const_a…
     2         0 …ractinterpretation.jl   791 abstract_call_method_with_const_a…
    39         0 …ractinterpretation.jl   794 abstract_call_method_with_const_a…
     5         0 …ractinterpretation.jl   804 abstract_call_method_with_const_a…
    43         0 …ractinterpretation.jl   812 abstract_call_method_with_const_a…
   338         0 …ractinterpretation.jl   818 abstract_call_method_with_const_a…
   185         0 …ractinterpretation.jl  2156 abstract_call_unknown(interp::Cor…
   698         0 …ractinterpretation.jl  2889 abstract_eval_basic_statement(int…
   798         0 …ractinterpretation.jl  2913 abstract_eval_basic_statement(int…
    34         0 …ractinterpretation.jl  2365 abstract_eval_call(interp::Core.C…
   805         0 …ractinterpretation.jl  2370 abstract_eval_call(interp::Core.C…
     3         0 …ractinterpretation.jl  2655 abstract_eval_globalref
     1         1 …ractinterpretation.jl  2656 abstract_eval_globalref
     1         0 …ractinterpretation.jl  2665 abstract_eval_globalref(interp::C…
     2         0 …ractinterpretation.jl  2671 abstract_eval_globalref(interp::C…
     1         0 …ractinterpretation.jl  2680 abstract_eval_globalref(interp::C…
     1         1 …ractinterpretation.jl  2274 abstract_eval_special_value
     1         0 …ractinterpretation.jl  2278 abstract_eval_special_value
     4         0 …ractinterpretation.jl  2294 abstract_eval_special_value
   805         0 …ractinterpretation.jl  2624 abstract_eval_statement(interp::C…
   805         0 …ractinterpretation.jl  2380 abstract_eval_statement_expr(inte…
     1         1 …ractinterpretation.jl  2557 abstract_eval_statement_expr(inte…
     6         0 …ractinterpretation.jl  2308 abstract_eval_value(interp::Core.…
     2         0 …ractinterpretation.jl   483 add_call_backedges!(interp::Core.…
     1         0 …ractinterpretation.jl     6 call_result_unused
    27         0 …ractinterpretation.jl  2315 collect_argtypes
     7         0 …ractinterpretation.jl  2317 collect_argtypes
    39        27 …ractinterpretation.jl   909 concrete_eval_call(interp::Core.C…
     2         0 …ractinterpretation.jl   867 concrete_eval_eligible(interp::Co…
     1         1 …ractinterpretation.jl  1010 const_prop_argument_heuristic(int…
     1         0 …ractinterpretation.jl  1011 const_prop_argument_heuristic(int…
     1         0 …ractinterpretation.jl  1019 const_prop_argument_heuristic(int…
     1         1 …ractinterpretation.jl  1187 const_prop_call(interp::Core.Comp…
     3         0 …ractinterpretation.jl  1192 const_prop_call(interp::Core.Comp…
     1         0 …ractinterpretation.jl  1196 const_prop_call(interp::Core.Comp…
     8         0 …ractinterpretation.jl  1201 const_prop_call(interp::Core.Comp…
